Region,Suburb,Postcode,State
Moreton Bayside,Redcliffe,4059,QLD
Moreton Bayside,Scarborough,4017,QLD
Moreton Bayside,Newport,4051,QLD
Moreton Bayside,Woody Point,4122,QLD
Moreton Bayside,Clontarf,4011,QLD
Moreton Bayside,Kippa-Ring,4306,QLD
Moreton Bayside,Margate,4122,QLD
Moreton Bayside,Bray Park,4017,QLD
Ipswich Council,Augustine Heights,4066,QLD
Ipswich Council,Redbank Plains,4059,QLD
Sunshine Coast,Birtinya,4153,QLD
Logan East,Rochedale South,4123,QLD
Logan East,Cornubia,4075,QLD
Logan East,Daisy Hill,4025,QLD
Logan East,Shailer Park,4073,QLD
Logan East,Eagleby,4009,QLD
Logan West,Loganlea,4110,QLD
Logan West,Marsden,4122,QLD
